id,name_cz,name_eng,keyword,type,Typ (hodnota),edition,Edice,Vytisknuto,Role Token,Vytisknuto Reminder Tokeny,Reminder Tokeny,ability_cz,ability_eng,setup,setup_reminder_eng,setup_reminder_cz,setlist_position,first_night_position,first_night_reminder_eng,first_night_reminder_cz,other_night_position,other_night_reminder_eng,other_night_reminder_cz,jinx,
131,Ponocný,Nightwatchman,nightwatchman,townsfolk,Měšťan,6,VI Experimental,0,1,0,1,,"Once per game, at night, choose a player: they learn you are the Nightwatchman.",FALSE,,,41,65,"The Nightwatchman might choose a player. Put the Nightwatchman to sleep. Wake the target. Show the **THIS PLAYER IS** & Nightwatchman tokens, then point to the Nightwatchman. {reminder_token}",,83,"The Nightwatchman might choose a player. Put the Nightwatchman to sleep. Wake the target. Show the **THIS PLAYER IS** & Nightwatchman tokens, then point to the Nightwatchman. {reminder_token}",,FALSE,
132,Šlechtic,Noble,noble,townsfolk,Měšťan,6,VI Experimental,0,1,0,3,,"You start knowing 3 players, 1 and only 1 of which is evil.",FALSE,,,4,60,Point to the 3 players marked **KNOW**.,,0,,,FALSE,
133,Zlobr,Ogre,ogre,outsider,Outsider,9,IX Experimental,0,1,0,0,,"On your 1st night, choose a player (not yourself): you become their alignment (you don't know which) even if drunk or poisoned.",FALSE,,,4,68,The Ogre chooses a player. {reminder_token},,0,,,FALSE,
134,Ojo,Ojo,ojo,demon,Démon,9,IX Experimental,0,1,0,1,,"Each night*, choose a character: they die. If they are not in play, the Storyteller chooses who dies.",FALSE,,,7,0,,,44,The Ojo chooses a character. {reminder_token},,FALSE,
135,Flašinetář,Organ Grinder,organgrinder,minion,Přisluhovač,5,V Experimental,0,1,0,2,,"All players keep their eyes closed when voting and the vote tally is secret. Each night, choose if you are drunk until dusk.",FALSE,,,25,34,"The Organ Grinder either nods their head yes to be drunk, or shakes their head no to be sober. {reminder_token}",,19,"The Organ Grinder either nods their head yes to be drunk, or shakes their head no to be sober. {reminder_token}",,FALSE,
136,Skřítek,Pixie,pixie,townsfolk,Měšťan,4,IV Experimental,0,1,0,2,,"You start knowing 1 in-play Townsfolk. If you were mad that you were this character, you gain their ability when they die.",FALSE,,,11,43,Show the Townsfolk character token marked **MAD**.,,0,,,FALSE,
137,Morový Doktor,Plague Doctor,plaguedoctor,outsider,Outsider,6,VI Experimental,0,1,0,1,,"When you die, the Storyteller gains a Minion ability.",FALSE,,,11,0,,,56,"If the Plague Doctor died, the Storyteller gained a Minion ability. If you haven’t done this yet, do so now. {reminder_token}",,TRUE,
138,Politik,Politician,politician,outsider,Outsider,6,VI Experimental,0,1,0,0,,"If you were the player most responsible for your team losing, you change alignment & win, even if dead.",FALSE,,,18,0,,,0,,,FALSE,
139,Maková Panenka,Poppy Grower,poppygrower,townsfolk,Měšťan,7,VII Experimental,0,1,0,1,,"Minions & Demons do not know each other. If you die, they learn who each other are that night.",FALSE,,,67,12,Skip Minion Info and Demon Info. Wake the Demon. Show the **THESE CHARACTERS ARE NOT IN PLAY** token. Show 3 not-in-play good character tokens.,,6,"If the Poppy Grower died today or tonight, wake all Minions. Show the **THIS IS THE DEMON** token. Point to the Demon. Put the Minions to sleep. Wake the Demon. Show the **THESE ARE YOUR MINIONS** token. Point to the Minions.",,FALSE,
140,Kazatel,Preacher,preacher,townsfolk,Měšťan,10,X Experimental,0,1,0,3,,"Each night, choose a player: a Minion, if chosen, learns this. All chosen Minions have no ability.",FALSE,,,18,24,The Preacher chooses a player. {reminder_token} If they chose a Minion: Put the Preacher to sleep. Wake the target. Show the **THIS CHARACTER SELECTED YOU** & Preacher tokens.,,9,The Preacher chooses a player. {reminder_token} If they chose a Minion: Put the Preacher to sleep. Wake the target. Show the **THIS CHARACTER SELECTED YOU** & Preacher tokens.,,FALSE,
141,Princezna,Princess,princess,townsfolk,Měšťan,4,IV Experimental,0,1,0,1,,"On your 1st day, if you nominated & executed a player, the Demon doesn't kill tonight.",FALSE,,,50,0,,,32,"If the Princess nominated the player who was executed today, wake the Demon as normal, but no one dies to the Demon's ability. {reminder_token}",,FALSE,
142,Psychopat,Psychopath,psychopath,minion,Přisluhovač,5,V Experimental,0,1,0,0,,"Each day, before nominations, you may publicly choose a player: they die. If executed, you only die if you lose roshambo.",FALSE,,,11,0,,,0,,,FALSE,
143,Hádankář,Puzzlemaster,puzzlemaster,outsider,Outsider,7,VII Experimental,0,1,0,2,,"1 player is drunk, even if you die. If you guess (once) who it is, learn the Demon player, but guess wrong & get false info.",FALSE,,,23,0,,,0,,,FALSE,
144,Masakr,Riot,riot,demon,Démon,9,IX Experimental,0,4,0,0,,"On day 3, Minions become Riot & nominees die but nominate an alive player immediately. This must happen.",FALSE,,,18,0,,,91,"Change the Riot reminder token to the relevant day. {reminder_token} If it is night 3, you may wake the Minions. Show the **YOU ARE** & Riot tokens.",,TRUE,
145,Šugendža,Shugenja,shugenja,townsfolk,Měšťan,4,IV Experimental,0,1,0,0,,"You start knowing if your closest evil player is clockwise or anti-clockwise. If equidistant, this info is arbitrary.",FALSE,,,10,62,Point clockwise or anticlockwise.,,0,,,FALSE,
146,Práskač,Snitch,snitch,outsider,Outsider,9,IX Experimental,0,1,0,0,,Each Minion gets 3 bluffs.,FALSE,,,21,16,Wake each Minion. Show the **THESE CHARACTERS ARE NOT IN PLAY** token. Show 3 not-in-play character tokens.,,0,,,FALSE,
147,Správce,Steward,steward,townsfolk,Měšťan,4,IV Experimental,0,1,0,1,,You start knowing 1 good player.,FALSE,,,1,58,Point to the player marked **KNOW**.,,0,,,FALSE,
148,Vyvolávač,Summoner,summoner,minion,Přisluhovač,10,X Experimental,0,1,0,3,,"You get 3 bluffs. On the 3rd night, choose a player: they become an evil Demon of your choice.",TRUE,[No Demon],,18,18,Show the **THESE CHARACTERS ARE NOT IN PLAY** token. Show 3 not-in-play good character tokens.,,28,"Change the Summoner reminder token to the relevant night. {reminder_token} If it is night 3, the Summoner chooses a player & a Demon character. Put the Summoner to sleep. Wake the target. Show the **YOU ARE** and Demon tokens & give a thumbs-down.",,TRUE,
149,Vesnický Pobuda,Village Idiot,villageidiot,townsfolk,Měšťan,10,X Experimental,0,3,0,1,,"Each night, choose a player: you learn their alignment.",TRUE,[+0 to +2 Village Idiots. 1 of the extras is drunk],,20,63,"If there are multiple Village Idiots, mark one as **DRUNK**. {reminder_token} Wake the Village Idiots one at a time to choose a player. Give a thumb signal.",,80,Wake the Village Idiots one at a time to choose a player. Give a thumb signal.,,FALSE,
150,Vezír,Vizier,vizier,minion,Přisluhovač,7,VII Experimental,0,1,0,0,,"All players know you are the Vizier. You cannot die during the day. If good voted, you may choose to execute immediately.",FALSE,,,24,75,Announce which player is the Vizier.,,0,,,TRUE,
151,Vdova,Widow,widow,minion,Přisluhovač,9,IX Experimental,0,1,0,1,,"On your 1st night, look at the Grimoire & choose a player: they are poisoned. 1 good player knows a Widow is in play.",FALSE,,,14,29,Show the Grimoire for as long as the Widow needs. The Widow chooses a player. {reminder_token} Put the Widow to sleep. Wake the player marked **KNOW** & show the Widow token. {reminder_token},,0,,,TRUE,
152,Čaroděj,Wizard,wizard,minion,Přisluhovač,10,X Experimental,0,1,0,1,,"Once per game, choose to make a wish. If granted, it might have a price & leave a clue as to its nature.",FALSE,,,13,31,Do whatever needs to be done to satisfy the Wizard's ability.,,14,Do whatever needs to be done to satisfy the Wizard's ability.,,FALSE,
153,Přízrak,Wraith,wraith,minion,Přisluhovač,6,VI Experimental,0,1,0,0,,You may choose to open your eyes at night. You wake when other evil players do.,FALSE,,,17,6,Wake the Wraith whenever other evil players wake.,,4,Wake the Wraith whenever other evil players wake.,,FALSE,
154,Xaan,Xaan,xaan,minion,Přisluhovač,8,VIII Experimental,0,1,0,1,,"On night X, all Townsfolk are poisoned until dusk.",TRUE,[X Outsiders],,15,27,"If X is 1, mark the Xaan with the **X** reminder token. {reminder_token} {reminder_token}",,10,"Change the Xaan reminder token to the relevant night. If it is night X, mark the Xaan with the **X** reminder token. {reminder_token} {reminder_token}",,FALSE,
155,Avada Blablabla,Yaggababble,yaggababble,demon,Démon,6,VI Experimental,0,1,0,3,,"You start knowing a secret phrase. For each time you said it publicly today, a player might die.",FALSE,,,1,13,Show the Yaggababble their secret phrase.,,48,"For each time the Yaggababble said their phrase today, a player might die. {reminder_token}",,TRUE,
156,Fanatik,Zealot,zealot,outsider,Outsider,10,X Experimental,0,1,0,0,,"If there are 5 or more players alive, you must vote for every nomination.",FALSE,,,19,0,,,0,,,FALSE,
157,Soumrak,Dusk,dusk,special,Special,0,,0,0,0,0,,,FALSE,,,0,1,Start the Night Phase.,Začni fázi Noci.,1,Start the Night Phase.,Začni fázi Noci.,FALSE,
158,Info Démona,Demon Info,demoninfo,special,Special,0,,0,0,0,0,,,FALSE,,,0,19,"If there are 7 or more players, wake the Demon: Show the **THESE ARE YOUR MINIONS** token. Point to all Minions. Show the **THESE CHARACTERS ARE NOT IN PLAY** token. Show 3 not-in-play good character tokens.","Pokud je 7 a více hráčů, probuď Démona: Ukaž **TOTO JSOU TVOJI PŘISLUHOVAČI**. Ukaž na všechny Přisluhovače. Ukaž žeton **TYTO ROLE NEJSOU VE HŘE**. Ukaž 3 žetony hodných rolí, které nejsou ve hře.",0,,,FALSE,
159,Info Přisluhovačů,Minion Info,minioninfo,special,Special,0,,0,0,0,0,,,FALSE,,,0,15,"If there are 7 or more players, wake all Minions: Show the **THIS IS THE DEMON** token. Point to the Demon. Show the **THESE ARE YOUR MINIONS** token. Point to the other Minions.","Pokud je 7 a více hráčů, probuď všechny Přisluhovače: Ukaž žeton **TOHLE JE DÉMON**. Ukaž na Démona. Ukaž žeton **TOTO JSOU TVOJI PŘISLUHOVAČI**. Ukaž na ostatní Přisluhovače.",0,,,FALSE,
160,Úsvit,Dawn,dawn,special,Special,0,,0,0,0,0,,,FALSE,,,0,73,Wait for a few seconds. End the Night Phase.,Počkej několik sekund. Ukonči fázi Noci.,92,Wait for a few seconds. End the Night Phase.,Počkej několik sekund. Ukonči fázi Noci.,FALSE,
161,Džin,Djinn,djinn,fabled,Legenda,4,IV Experimental,0,1,0,0,,Use the Djinn's special rule. All players know what it is.,FALSE,,,1,0,,,0,,,FALSE,
162,Vévodkyně,Duchess,duchess,fabled,Legenda,7,VII Experimental,0,1,0,3,,"Each day, 3 players may choose to visit you. At night*, each visitor learns how many visitors are evil, but 1 gets false info.",FALSE,,,2,0,,,2,"One at a time: Wake each player marked **VISITOR** or **FALSE INFO**. Show the **THIS CHARACTER SELECTED YOU** & Duchess tokens, then give a finger signal.",,FALSE,
163,Fibbin,Fibbin,fibbin,fabled,Legenda,8,VIII Experimental,0,1,0,1,,"Once per game, 1 good player might get incorrect information.",FALSE,,,3,0,,,0,,,FALSE,
164,Houslista,Fiddler,fiddler,fabled,Legenda,5,V Experimental,0,1,0,0,,"Once per game, the Demon secretly chooses an opposing player: all players choose which of these 2 players win.",FALSE,,,4,0,,,0,,,FALSE,
165,Převozník,Ferryman,ferryman,fabled,Legenda,8,VIII Experimental,0,1,0,0,,"On the final day, all dead players regain their vote token.",FALSE,,,5,0,,,0,,,FALSE,
166,Prorok Zkázy,Doomsayer,doomsayer,fabled,Legenda,4,IV Experimental,0,1,0,0,,"If 4 or more players live, each living player may publicly choose (once per game) that a player of their own alignment dies.",FALSE,,,6,0,,,0,,,FALSE,
167,Duch Rovnováhy,Spirit of Ivory,spiritofivory,fabled,Legenda,5,V Experimental,0,1,0,1,,There can't be more than 1 extra evil player.,FALSE,,,7,0,,,0,,,FALSE,
168,Strážce,Sentinel,sentinel,fabled,Legenda,6,VI Experimental,0,1,0,0,,There might be 1 extra or 1 fewer Outsider in play.,FALSE,,,8,0,,,0,,,FALSE,
169,Hračkář,Toymaker,toymaker,fabled,Legenda,5,V Experimental,0,1,0,1,,The Demon may choose not to attack & must do this at least once per game. Evil players get normal starting info.,FALSE,,,9,4,"Resolve Minion Info and Demon Info, even though there are fewer than 7 players.",,3,"If a Demon attack could end the game, and the Demon is marked **FINAL NIGHT: NO ATTACK**, do not wake the Demon.",,FALSE,
170,Buddhista,Buddhist,buddhist,fabled,Legenda,9,IX Experimental,0,1,0,0,,"For the first 2 minutes of each day, veteran players may not talk.",FALSE,,,10,3,Announce which players are affected by the Buddhist.,,0,,,FALSE,
171,Přísný Knihovník,Hell's Librarian,hellslibrarian,fabled,Legenda,8,VIII Experimental,0,1,0,3,,Something bad might happen to whoever talks when the Storyteller has asked for silence.,FALSE,,,11,0,,,0,,,FALSE,
172,Anděl,Angel,angel,fabled,Legenda,9,IX Experimental,0,1,0,2,,Something bad might happen to whoever is most responsible for the death of a new player.,FALSE,,,12,2,Announce which players are protected by the Angel. {reminder_token},,0,,,FALSE,
173,Deus ex Fiasco,Deus ex Fiasco,deusexfiasco,fabled,Legenda,6,VI Experimental,0,1,0,1,,"At least once per game, the Storyteller will make a mistake, correct it, and publicly admit to it.",FALSE,,,13,0,,,0,,,FALSE,
174,Revolucionář,Revolutionary,revolutionary,fabled,Legenda,6,VI Experimental,0,1,0,1,,"2 neighboring players are known to be the same alignment. Once per game, 1 of them registers falsely.",FALSE,,,14,0,,,0,,,FALSE,
175,Prorok Zena,Zenomancer,zenomancer,loric,Lorik,9,IX Experimental,0,1,0,4,,"One or more players each have a goal. When achieved, that player learns a piece of true info.",FALSE,,,15,0,,,0,,,FALSE,
176,Zahradník,Gardener,gardener,loric,Lorik,5,V Experimental,0,1,0,0,,The Storyteller assigns 1 or more players' characters.,FALSE,,,16,0,,,0,,,FALSE,
177,Papež,Pope,pope,loric,Lorik,7,VII Experimental,0,1,0,9,,There are duplicate good characters in play. They might also be bluffs.,FALSE,,,17,0,,,0,,,FALSE,
178,Hinduista,Hindu,hindu,loric,Lorik,4,IV Experimental,0,1,0,0,,The first 4 players to die are immediately reincarnated as Travellers of the same alignment.,FALSE,,,18,0,,,0,,,FALSE,
179,Tor,Tor,tor,loric,Lorik,8,VIII Experimental,0,1,0,1,,Players don't know their character or alignment. They learn them when they die.,FALSE,,,19,0,,,68,"If a player died tonight, show the **YOU ARE** info token, their character token, & a thumbs up or thumbs down.",,FALSE,
180,Oko Bouře,Storm Catcher,stormcatcher,loric,Lorik,8,VIII Experimental,0,1,0,1,,"Name a good character. If in play, they can only die by execution, but evil players learn which player it is.",FALSE,,,20,5,"Announce which character is stormcaught. If that character is in play, mark that player as **STORMCAUGHT**. Wake each evil player and show them the character token, then the marked player.  If not in play, wake each evil player, show them the **THESE CHARACTERS ARE NOT IN PLAY** token & the relevant character token.",,0,,,FALSE,
181,Papaláš,Big Wig,bigwig,loric,Lorik,6,VI Experimental,0,1,0,0,,"Each nominee chooses a player: until voting, only they may speak & they are mad the nominee is good or they might die.",FALSE,,,21,0,,,0,,,FALSE,
182,Pašerák,Bootlegger,bootlegger,loric,Lorik,9,IX Experimental,0,1,0,0,,This script has homebrew characters or rules.,FALSE,,,22,0,,,0,,,FALSE,
